"Ultiboard Information Export File"

"Design Name  : Laser-TreiberV2(partslist)"
"Report Date  : 1 April 2010"
"Report Time  : 14:23"
"--------------------------------------------------------------------------------"

"VALUE","SHAPE","#","REFDES",,,,

"1N4148","DO-35","4","D1,D2,D3,D4"
"1k","R0207R10","6","R1,R21,R22,R23,R25,R27"
"1k","R0207R10","2","R24,R26"
"1k","POT2","1","R10"
"1k","POT2","1","R15"
"1k","R0207R10","1","R6"
"1uF","CAPPR250-630X1120","2","C13,C15"
"1uF","KERKO6X5R5","3","C8,C9,C10"
"2.2uF","KERKO6X5R5","3","C1,C2,C5"
"2k","R0207R10","2","R3,R28"
"5","R0207R10","2","R32,R36"
"5k","POT2","2","R29,R33"
"10k","R0207R10","6","R4,R7,R13,R16,R17,R20"
"10uF","KERKO6X5R5","2","C6,C7"
"22k","R0207R10","1","R19"
"22uF","CAPPR250-630X1120","2","C14,C16"
"30k","R0207R10","1","R5"
"47uF","CAPPR250-630X1120","2","C11,C12"
"50k","R0207R10","2","R31,R35"
"100","R0207R10","2","R2,R18"
"100k","R0207R10","4","R8,R9,R11,R12"
"100nF","KERKO6X5R5","10","C17,C18,C19,C20,C21,C22,C23,C24,C25,C26"
"100uF","CAPPR250-630X1120","2","C3,C4"
"100uH","IND1250-650X250","3","L1,L2,L3"
"140","R0207R10","1","R14"
"275","R0207R10","2","R30,R34"
"BC327","TO92","1","Q4"
"BC337","TO92","1","Q3"
"DIN64-CONNECTOR","DIN64_CONN","1","U10"
"EXT-SETPOINT","EXT-SETPOINT","1","U12"
"HDR1X3","HDR1X3","10","J3,J4,J6,J7,J8,J9,J10,J11,J13,J14"
"HDR2X3","HDR2X3","3","J1,J2,J5"
"IRF1310","TO220H","1","Q2"
"IRF9530","TO220H","1","Q1"
"LM117HVH","78XXV","1","U8"
"LM337VH_1","78XXV","1","U9"
"LM399H","LM399H","1","U1"
"LT1028","DIP8300","1","U2"
"LT1028ACN8","DIP8300","1","U5"
"OP27GZ","DIP8300","3","U4,U6,U7"
"PRES_RESISTOR","R0207R10","1","U3"
